i94port_valid_code,i94port_city_name,i94port_state_code
YUI,YUMA,AZ
AND,ANDRADE,CA
BUR,BURBANK,CA
CAL,CALEXICO,CA
CAO,CAMPO,CA
FRE,FRESNO,CA
ICP,IMPERIAL COUNTY,CA
LNB,LONG BEACH,CA
LOS,LOS ANGELES,CA
BFL,MEADOWS FIELD - BAKERSFIELD,CA
OAK,OAKLAND,CA
ONT,ONTARIO,CA
OTM,OTAY MESA,CA
BLT,PACIFIC,HWY. STATION
PSP,PALM SPRINGS,CA
SAC,SACRAMENTO,CA
SLS,SALINAS,CA (BPS)
SDP,SAN DIEGO,CA
SFR,SAN FRANCISCO,CA
SNJ,SAN JOSE,CA
SLO,SAN LUIS OBISPO,CA
SLI,SAN LUIS OBISPO,CA (BPS)
SPC,SAN PEDRO,CA
SYS,SAN YSIDRO,CA
SAA,SANTA ANA,CA
STO,STOCKTON,CA (BPS)
TEC,TECATE,CA
TRV,TRAVIS-AFB,CA
APA,ARAPAHOE COUNTY,CO
ASE,ASPEN,CO #ARPT
COS,COLORADO SPRINGS,CO
DEN,DENVER,CO
DRO,LA PLATA - DURANGO,CO
BDL,BRADLEY INTERNATIONAL,CT
BGC,BRIDGEPORT,CT
GRT,GROTON,CT
HAR,HARTFORD,CT
NWH,NEW HAVEN,CT
NWL,NEW LONDON,CT
TST,NEWINGTON DATA CENTER TEST,CT
DOV,DOVER AFB,DE
DVD,DOVER-AFB,DE
WLL,WILMINGTON,DE
BOC,BOCAGRANDE,FL
SRQ,BRADENTON - SARASOTA,FL
CAN,CAPE CANAVERAL,FL
DAB,DAYTONA BEACH INTERNATIONAL,FL
FRN,FERNANDINA,FL
FTL,FORT LAUDERDALE,FL
FMY,FORT MYERS,FL
FPF,FORT PIERCE,FL
HUR,HURLBURT FIELD,FL
GNV,J R ALISON MUNI - GAINESVILLE,FL
JAC,JACKSONVILLE,FL
KEY,KEY WEST,FL
LEE,LEESBURG MUNICIPAL AIRPORT,FL
MLB,MELBOURNE,FL
MIA,MIAMI,FL
APF,NAPLES,FL #ARPT
OPF,OPA LOCKA,FL
ORL,ORLANDO,FL
PAN,PANAMA CITY,FL
PEN,PENSACOLA,FL
PCF,PORT CANAVERAL,FL
PEV,PORT EVERGLADES,FL
PSJ,PORT ST JOE,FL
SFB,SANFORD,FL
SGJ,ST AUGUSTINE ARPT,FL
SAU,ST AUGUSTINE,FL
FPR,ST LUCIE COUNTY,FL
SPE,ST PETERSBURG,FL
TAM,TAMPA,FL
WPB,WEST PALM BEACH,FL
ATL,ATLANTA,GA
BRU,BRUNSWICK,GA
AGS,BUSH FIELD - AUGUSTA,GA
SAV,SAVANNAH,GA
AGA,AGANA,GU
HHW,HONOLULU,HI
OGG,KAHULUI - MAUI,HI
KOA,KEAHOLE-KONA,HI
LIH,LIHUE,HI
CID,CEDAR RAPIDS/IOWA CITY,IA
DSM,DES MOINES,IA
BOI,AIR TERM. (GOWEN FLD) BOISE,ID
EPI,EASTPORT,ID
IDA,FANNING FIELD - IDAHO FALLS,ID
PTL,PORTHILL,ID
SPI,CAPITAL - SPRINGFIELD,IL
CHI,CHICAGO,IL
DPA,DUPAGE COUNTY,IL
PIA,GREATER PEORIA,IL
RFD,GREATER ROCKFORD,IL
UGN,MEMORIAL - WAUKEGAN,IL
GAR,GARY,IN
HMM,HAMMOND,IN
INP,INDIANAPOLIS,IN
MRL,MERRILLVILLE,IN
SBN,SOUTH BEND,IN
ICT,MID-CONTINENT - WITCHITA,KS
LEX,BLUE GRASS - LEXINGTON,KY
LOU,LOUISVILLE,KY
BTN,BATON ROUGE,LA
LKC,LAKE CHARLES,LA
LAK,LAKE CHARLES,LA (BPS)
MLU,MONROE,LA
MGC,MORGAN CITY,LA
NOL,NEW ORLEANS,LA
BOS,BOSTON,MA
GLO,GLOUCESTER,MA
BED,HANSCOM FIELD - BEDFORD,MA
LYN,LYNDEN,WA
ADW,ANDREWS AFB,MD
BAL,BALTIMORE,MD
MKG,MUSKEGON,MD
PAX,PATUXENT RIVER,MD
BGM,BANGOR,ME
BOO,BOOTHBAY HARBOR,ME
BWM,BRIDGEWATER,ME
BCK,BUCKPORT,ME
CLS,CALAIS,ME
CRB,CARIBOU,ME
COB,COBURN GORE,ME
EST,EASTCOURT,ME
EPT,EASTPORT MUNICIPAL,ME
EPM,EASTPORT,ME
FOR,FOREST CITY,ME
FTF,FORT FAIRFIELD,ME
FTK,FORT KENT,ME
HML,HAMIIN,ME
HTM,HOULTON,ME
JKM,JACKMAN,ME
KAL,KALISPEL,MT
LIM,LIMESTONE,ME
LUB,LUBEC,ME
MAD,MADAWASKA,ME
POM,PORTLAND,ME
RGM,RANGELEY,ME (BPS)
SBR,SOUTH BREWER,ME
SRL,ST AURELIE,ME
SPA,ST PAMPILE,ME
VNB,VAN BUREN,ME
VCB,VANCEBORO,ME
AGN,ALGONAC,MI
ALP,ALPENA,MI
