i94port_valid_code,i94port_city_name,i94port_state_code
ORO,OROVILLE,WA
PWB,PASCO,WA
PIR,POINT ROBERTS,WA
PNG,PORT ANGELES,WA
PTO,PORT TOWNSEND,WA
SEA,SEATTLE,WA
SPO,SPOKANE,WA
SUM,SUMAS,WA
TAC,TACOMA,WA
PSC,TRI-CITIES - PASCO,WA
VAN,VANCOUVER,WA
AGM,ALGOMA,WI
BAY,BAYFIELD,WI
GRB,GREEN BAY,WI
MNW,MANITOWOC,WI
MIL,MILWAUKEE,WI
MSN,TRUAX FIELD - DANE COUNTY,WI
CHS,CHARLESTON,WV
CLK,CLARKSBURG,WV
BLF,MERCER COUNTY,WV
CSP,CASPER,WY
CLG,CALGARY,CANADA
EDA,EDMONTON,CANADA
YHC,HAKAI PASS,CANADA
HAL,Halifax,NS
MON,MONTREAL,CANADA
OTT,OTTAWA,CANADA
YXE,SASKATOON,CANADA
TOR,TORONTO,CANADA
VCV,VANCOUVER,CANADA
VIC,VICTORIA,CANADA
WIN,WINNIPEG,CANADA
AMS,AMSTERDAM-SCHIPHOL,NETHERLANDS
ARB,ARUBA,NETH ANTILLES
BAN,BANKOK,THAILAND
BEI,BEICA #ARPT,ETHIOPIA
PEK,BEIJING CAPITAL INTL,PRC
BDA,KINDLEY FIELD,BERMUDA
BOG,BOGOTA,EL DORADO #ARPT
EZE,BUENOS AIRES,MINISTRO PIST
CUN,CANCUN,MEXICO
CRQ,CARAVELAS,BA #ARPT
MVD,CARRASCO,URUGUAY
DUB,DUBLIN,IRELAND
FOU,FOUGAMOU #ARPT,GABON
FBA,FREEPORT,BAHAMAS
MTY,GEN M. ESCOBEDO,Monterrey
HMO,GEN PESQUEIRA GARCIA,MX
GCM,GRAND CAYMAN,CAYMAN ISLAND
GDL,GUADALAJARA,MIGUEL HIDAL
HAM,HAMILTON,BERMUDA
ICN,INCHON,SEOUL KOREA
IWA,INVALID - IWAKUNI,JAPAN
CND,KOGALNICEANU,ROMANIA
LAH,LABUHA ARPT,INDONESIA
DUR,LOUIS BOTHA,SOUTH AFRICA
MAL,MANGOLE ARPT,INDONESIA
MDE,MEDELLIN,COLOMBIA
MEX,JUAREZ INTL,MEXICO CITY
LHR,MIDDLESEX,ENGLAND
NBO,NAIROBI,KENYA
NAS,NASSAU,BAHAMAS
NCA,NORTH CAICOS,TURK & CAIMAN
PTY,OMAR TORRIJOS,PANAMA
SPV,PAPUA,NEW GUINEA
UIO,QUITO (MARISCAL SUCR),ECUADOR
RIT,ROME,ITALY
SNO,SAKON NAKHON #ARPT,THAILAND
SLP,SAN LUIS POTOSI #ARPT,MEXICO
SAN,SAN SALVADOR,EL SALVADOR
SRO,SANTANA RAMOS #ARPT,COLOMBIA
GRU,GUARULHOS INTL,SAO PAULO
SHA,SHANNON,IRELAND
HIL,SHILLAVO,ETHIOPIA
TOK,TOROKINA #ARPT,PAPUA
VER,VERACRUZ,MEXICO
LGW,WEST SUSSEX,ENGLAND
CNC,CANNON CORNERS,NY
AG0,MAGNOLIA,AR
BHM,BAR HARBOR,ME
BHX,BIRMINGHAM,AL
CAK,AKRON,OH
FOK,SUFFOLK COUNTY,NY
LND,LANDER,WY
MAR,MARFA,TX
MLI,MOLINE,IL
RIV,RIVERSIDE,CA
RME,ROME,NY
VNY,VAN NUYS,CA
YUM,YUMA,AZ
ELM,REGIONAL ARPT - HORSEHEAD,NY
ROC,ROCHESTER,NY
ROU,ROUSES POINT,NY
SWF,STEWART - ORANGE CNTY,NY
SYR,SYRACUSE,NY
THO,THOUSAND ISLAND BRIDGE,NY
TRO,TROUT RIVER,NY
WAT,WATERTOWN,NY
HPN,WESTCHESTER - WHITE PLAINS,NY
WRB,WHIRLPOOL BRIDGE,NY
YOU,YOUNGSTOWN,NY
AKR,AKRON,OH
ATB,ASHTABULA,OH
CIN,CINCINNATI,OH
CLE,CLEVELAND,OH
CLM,COLUMBUS,OH
LOR,LORAIN,OH
MBO,MARBLE HEADS,OH
SDY,SANDUSKY,OH
TOL,TOLEDO,OH
OKC,OKLAHOMA CITY,OK
TUL,TULSA,OK
AST,ASTORIA,OR
COO,COOS BAY,OR
HIO,HILLSBORO,OR
MED,MEDFORD,OR
NPT,NEWPORT,OR
POO,PORTLAND,OR
PUT,PUT-IN-BAY,OH
RDM,ROBERTS FIELDS - REDMOND,OR
ERI,ERIE,PA
MDT,HARRISBURG,PA
HSB,HARRISONBURG,PA
PHI,PHILADELPHIA,PA
PIT,PITTSBURG,PA
AGU,AGUADILLA,PR
BQN,BORINQUEN - AGUADILLO,PR
JCP,CULEBRA - BENJAMIN RIVERA,PR
ENS,ENSENADA,PR
FAJ,FAJARDO,PR
HUM,HUMACAO,PR
JOB,JOBOS,PR
MAY,MAYAGUEZ,PR
PON,PONCE,PR
PSE,PONCE-MERCEDITA,PR
SAJ,SAN JUAN,PR
VQS,VIEQUES-ARPT,PR
PRO,PROVIDENCE,RI
PVD,THEODORE FRANCIS - WARWICK,RI
CHL,CHARLESTON,SC
CAE,COLUMBIA,SC #ARPT
GEO,GEORGETOWN,SC
GSP,GREENVILLE,SC
GRR,GREER,SC
MYR,MYRTLE BEACH,SC
