city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count
GAINESVILLE,Florida,26.0,60803.0,69330.0,130133,4788.0,15272.0,2.33,FL,Black or African-American,32912
PEORIA,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL,Asian,6989
MIAMI BEACH,Florida,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1,FL,Hispanic or Latino,47446
JERSEY CITY,New Jersey,34.3,131765.0,132512.0,264277,4374.0,109186.0,2.57,NJ,White,99300
AKRON,Ohio,38.1,96886.0,100667.0,197553,12878.0,10024.0,2.24,OH,Asian,9033
AUGUSTA-RICHMOND COUNTY CONSOLIDATED GOVERNMENT,Georgia,33.7,94662.0,101917.0,196579,19085.0,7915.0,2.67,GA,Asian,4429
FALL RIVER,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA,American Indian and Alaska Native,1481
SPRINGFIELD,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,White,90935
SAINT PAUL,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN,American Indian and Alaska Native,6858
MIAMI,Florida,40.4,215840.0,225149.0,440989,7233.0,260789.0,2.5,FL,American Indian and Alaska Native,1571
BROKEN ARROW,Oklahoma,36.8,52136.0,55459.0,107595,6797.0,6845.0,2.77,OK,Hispanic or Latino,9191
SANDY SPRINGS,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,Hispanic or Latino,13670
FORT MYERS,Florida,37.3,36850.0,37165.0,74015,4312.0,15365.0,2.45,FL,Black or African-American,17298
PEARLAND,Texas,33.9,52336.0,59329.0,111665,5621.0,16882.0,3.0,TX,American Indian and Alaska Native,851
LIVERMORE,California,36.7,41522.0,46595.0,88117,3063.0,13959.0,2.91,CA,American Indian and Alaska Native,941
BERKELEY,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA,White,82949
LAUDERHILL,Florida,35.7,32813.0,38761.0,71574,1965.0,25471.0,3.02,FL,Asian,2662
TAMPA,Florida,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47,FL,White,257552
SANTA CLARA,California,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75,CA,Hispanic or Latino,22402
VIRGINIA BEACH,Virginia,35.4,222684.0,230061.0,452745,54995.0,38360.0,2.61,VA,Hispanic or Latino,36309
FAYETTEVILLE,Arkansas,27.1,41959.0,40873.0,82832,4744.0,6313.0,2.28,AR,Hispanic or Latino,5535
SANTA ROSA,California,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7,CA,Black or African-American,7157
SANTA ROSA,California,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7,CA,Asian,13496
ROSEVILLE,California,38.4,62591.0,67691.0,130282,8386.0,18161.0,2.72,CA,Hispanic or Latino,23499
FAIRFIELD,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,White,64106
FAIRFIELD,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,American Indian and Alaska Native,1016
METAIRIE,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,Black or African-American,17263
METAIRIE,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,American Indian and Alaska Native,438
VISALIA,California,32.6,63695.0,66399.0,130094,5547.0,20779.0,3.11,CA,American Indian and Alaska Native,2113
ENTERPRISE,Nevada,34.1,69146.0,66328.0,135474,7526.0,31173.0,2.89,NV,Black or African-American,14637
DECATUR,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL,White,56231
SCHAUMBURG,Illinois,36.9,35971.0,39840.0,75811,2019.0,24614.0,2.72,IL,American Indian and Alaska Native,633
HIGHLANDS RANCH,Colorado,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.72,CO,Black or African-American,1779
YUBA CITY,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,White,48746
IOWA CITY,Iowa,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36,IA,Hispanic or Latino,4072
EDMOND,Oklahoma,32.5,45191.0,44899.0,90090,5006.0,5585.0,2.68,OK,Black or African-American,4987
TEMPLE,Texas,33.6,33512.0,38785.0,72297,7333.0,3968.0,2.59,TX,White,54698
TUCSON,Arizona,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45,AZ,American Indian and Alaska Native,24409
WATERBURY,Connecticut,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71,CT,Hispanic or Latino,38222
WATERBURY,Connecticut,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71,CT,Asian,4080
CAPE CORAL,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,American Indian and Alaska Native,1040
VANCOUVER,Washington,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49,WA,Black or African-American,7520
MANTECA,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,Hispanic or Latino,31552
MANTECA,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,American Indian and Alaska Native,2861
SOUTH SAN FRANCISCO,California,39.4,34177.0,33094.0,67271,1839.0,27528.0,3.33,CA,American Indian and Alaska Native,535
STOCKTON,California,32.5,150976.0,154674.0,305650,12822.0,79583.0,3.16,CA,Black or African-American,41161
INDIANAPOLIS,Indiana,34.1,410615.0,437808.0,848423,42186.0,72456.0,2.53,IN,Asian,29307
CHANDLER,Arizona,35.6,128885.0,131948.0,260833,15870.0,38721.0,2.78,AZ,White,207993
PINE HILLS,Florida,29.2,35344.0,40737.0,76081,2594.0,20735.0,3.3,FL,Black or African-American,57089
MONTGOMERY,Alabama,35.4,94582.0,106004.0,200586,14955.0,9337.0,2.41,AL,Asian,6518
FLAGSTAFF,Arizona,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55,AZ,American Indian and Alaska Native,5117
ONTARIO,California,31.0,85059.0,86141.0,171200,4816.0,48557.0,3.52,CA,White,74765
NEW ORLEANS,Louisiana,35.9,185736.0,203881.0,389617,17388.0,21679.0,2.41,LA,Hispanic or Latino,21850
HUNTINGTON BEACH,California,41.6,99967.0,101960.0,201927,10454.0,35368.0,2.67,CA,White,156071
NEW YORK,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY,Asian,1304564
CAMDEN,New Jersey,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0,NJ,Asian,1686
BETHLEHEM,Pennsylvania,35.1,35861.0,38506.0,74367,4704.0,6295.0,2.46,PA,Asian,3759
SAN RAMON,California,39.1,39221.0,36911.0,76132,2855.0,29691.0,3.09,CA,White,37057
RIVERVIEW,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,Hispanic or Latino,23317
ARLINGTON HEIGHTS,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL,Hispanic or Latino,2742
BIRMINGHAM,Alabama,35.6,102122.0,112789.0,214911,13212.0,8258.0,2.21,AL,Black or African-American,157985
JONESBORO,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,American Indian and Alaska Native,2109
MORENO VALLEY,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA,Hispanic or Latino,120610
MORENO VALLEY,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA,Asian,11912
NAMPA,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,Hispanic or Latino,22066
BELLEVUE,Washington,37.4,70763.0,69051.0,139814,5382.0,54654.0,2.43,WA,White,82378
SAINT LOUIS,Missouri,35.0,153026.0,162659.0,315685,17060.0,21802.0,2.16,MO,Hispanic or Latino,12261
KANSAS CITY,Missouri,35.9,228430.0,246931.0,475361,24710.0,37787.0,2.35,MO,White,296623
NASHUA,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,Asian,9685
SUFFOLK,Virginia,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.72,VA,Asian,2248
CENTENNIAL,Colorado,42.4,53222.0,56504.0,109726,7226.0,9501.0,2.66,CO,Asian,7041
SUNRISE,Florida,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98,FL,White,54976
LAWRENCE,Massachusetts,30.8,37464.0,42776.0,80240,1190.0,29170.0,3.17,MA,Asian,2149
WARWICK,Rhode Island,42.6,39289.0,42409.0,81698,5799.0,5318.0,2.4,RI,Asian,2685
BRYAN,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,White,59742
MCKINNEY,Texas,35.6,77339.0,85548.0,162887,8082.0,25760.0,2.91,TX,American Indian and Alaska Native,1801
FREMONT,California,38.3,114383.0,117808.0,232191,4629.0,109427.0,3.12,CA,American Indian and Alaska Native,1606
SPRING HILL,Florida,45.1,48295.0,54902.0,103197,9737.0,7893.0,2.58,FL,Black or African-American,7689
ELGIN,Illinois,35.7,54852.0,56224.0,111076,4024.0,30167.0,2.97,IL,Asian,7606
EL PASO,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX,Hispanic or Latino,542017
SHREVEPORT,Louisiana,35.2,93138.0,103856.0,196994,14287.0,5658.0,2.53,LA,Hispanic or Latino,5081
SPOKANE VALLEY,Washington,36.0,49933.0,44975.0,94908,7984.0,4199.0,2.39,WA,Asian,1336
ELIZABETH,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ,Hispanic or Latino,86456
ELIZABETH,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ,White,70873
RICHARDSON,Texas,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83,TX,Asian,20724
WACO,Texas,29.3,63452.0,68890.0,132342,10716.0,14235.0,2.57,TX,White,96958
WACO,Texas,29.3,63452.0,68890.0,132342,10716.0,14235.0,2.57,TX,American Indian and Alaska Native,794
KNOXVILLE,Tennessee,33.1,89978.0,95334.0,185312,10897.0,10285.0,2.21,TN,Asian,4717
OKLAHOMA CITY,Oklahoma,34.1,309227.0,322036.0,631263,41843.0,80165.0,2.58,OK,Hispanic or Latino,117362
OCEANSIDE,California,39.4,87482.0,88232.0,175714,18051.0,37492.0,2.72,CA,American Indian and Alaska Native,2452
NEW BRAUNFELS,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,White,63789
LAREDO,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,Asian,1963
CHATTANOOGA,Tennessee,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4,TN,Hispanic or Latino,10918
SOUTH GATE,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97,CA,Hispanic or Latino,91312
HAMPTON,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,Asian,4561
WORCESTER,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA,White,131898
VIRGINIA BEACH,Virginia,35.4,222684.0,230061.0,452745,54995.0,38360.0,2.61,VA,Asian,38715
METAIRIE,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,Asian,4791
FORT LAUDERDALE,Florida,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38,FL,Black or African-American,62954
WEST PALM BEACH,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,Asian,3191
CHULA VISTA,California,34.6,131485.0,134269.0,265754,12368.0,82710.0,3.32,CA,Black or African-American,15641
DANBURY,Connecticut,37.3,43435.0,41227.0,84662,3752.0,25675.0,2.74,CT,White,55917
EDMOND,Oklahoma,32.5,45191.0,44899.0,90090,5006.0,5585.0,2.68,OK,American Indian and Alaska Native,8051
NORTH CHARLESTON,South Carolina,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.82,SC,Black or African-American,56734
POMPANO BEACH,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL,Asian,1089
NASHUA,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,White,73977
SALT LAKE CITY,Utah,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38,UT,Hispanic or Latino,40559
ALBANY,New York,32.8,47627.0,50825.0,98452,3643.0,11948.0,2.08,NY,Black or African-American,31303
NAPA,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,American Indian and Alaska Native,1751
CENTENNIAL,Colorado,42.4,53222.0,56504.0,109726,7226.0,9501.0,2.66,CO,Hispanic or Latino,8086
ATLANTA,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,Black or African-American,245367
SAINT CHARLES,Missouri,34.9,32054.0,36747.0,68801,4371.0,5274.0,2.33,MO,Asian,3392
MOUNT VERNON,New York,38.5,31876.0,36745.0,68621,2064.0,23777.0,2.85,NY,Asian,1497
JACKSON,Tennessee,35.3,30007.0,36973.0,66980,3529.0,2097.0,2.52,TN,White,36037
JACKSON,Tennessee,35.3,30007.0,36973.0,66980,3529.0,2097.0,2.52,TN,Black or African-American,30103
LYNCHBURG,Virginia,28.7,38614.0,41198.0,79812,4322.0,4364.0,2.48,VA,Asian,2910
ARDEN-ARCADE,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA,American Indian and Alaska Native,2587
TUCSON,Arizona,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45,AZ,Asian,24689
WESTMINSTER,California,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27,CA,Black or African-American,2270
ROCKVILLE,Maryland,38.1,31205.0,35793.0,66998,1990.0,25047.0,2.6,MD,Asian,17370
CAPE CORAL,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,White,163396
CLEVELAND,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,Asian,10102
LAKE FOREST,California,40.3,41515.0,40982.0,82497,3748.0,20784.0,2.76,CA,Black or African-American,3526
BAKERSFIELD,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,Hispanic or Latino,180241
IRVINE,California,34.6,125411.0,131516.0,256927,5532.0,116366.0,2.73,CA,White,127358
RENTON,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57,WA,White,58251
NORMAN,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,Asian,6539
DULUTH,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,Hispanic or Latino,1981
ODESSA,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,Hispanic or Latino,63586
TEMPE,Arizona,28.8,91350.0,84476.0,175826,7058.0,26620.0,2.44,AZ,White,130346
WAUKEGAN,Illinois,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92,IL,Hispanic or Latino,54214
ARLINGTON,Texas,32.6,191060.0,197062.0,388122,17050.0,79271.0,2.89,TX,White,251155
SEATTLE,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,American Indian and Alaska Native,12804
NEW YORK,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY,American Indian and Alaska Native,90923
LANCASTER,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,White,110311
SAN RAMON,California,39.1,39221.0,36911.0,76132,2855.0,29691.0,3.09,CA,Hispanic or Latino,5449
WILMINGTON,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,Hispanic or Latino,5516
WILMINGTON,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,Black or African-American,44182
APPLETON,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,Hispanic or Latino,5139
BOCA RATON,Florida,47.3,44760.0,48466.0,93226,4367.0,21117.0,2.22,FL,American Indian and Alaska Native,556
ROSWELL,Georgia,38.8,48637.0,45859.0,94496,3325.0,16501.0,2.7,GA,Black or African-American,15458
TOPEKA,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,White,108035
SAINT JOSEPH,Missouri,35.7,37688.0,38408.0,76096,5846.0,3755.0,2.58,MO,Hispanic or Latino,5400
STERLING HEIGHTS,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,White,112743
MELBOURNE,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,Asian,5186
OVERLAND PARK,Kansas,38.2,93355.0,93156.0,186511,10461.0,21407.0,2.41,KS,Hispanic or Latino,10104
POINCIANA,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,Asian,1409
WINSTON-SALEM,North Carolina,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47,NC,White,139301
DURHAM,North Carolina,33.2,121153.0,136445.0,257598,12528.0,38642.0,2.4,NC,American Indian and Alaska Native,3154
MOBILE,Alabama,38.0,91275.0,103030.0,194305,11939.0,7234.0,2.4,AL,White,93755
