ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates,iso_region_len
00AA,small_airport,Aero B Ranch Airport,3435.0,,US,US-KS,LEOTI,00AA,,00AA,"-101.473911, 38.704022",5
00AK,small_airport,Lowell Field,450.0,,US,US-AK,ANCHOR POINT,00AK,,00AK,"-151.695999146, 59.94919968",5
00AL,small_airport,Epps Airpark,820.0,,US,US-AL,HARVEST,00AL,,00AL,"-86.77030181884766, 34.86479949951172",5
00AS,small_airport,Fulton Airport,1100.0,,US,US-OK,ALEX,00AS,,00AS,"-97.8180194, 34.9428028",5
00AZ,small_airport,Cordes Airport,3810.0,,US,US-AZ,CORDES,00AZ,,00AZ,"-112.16500091552734, 34.305599212646484",5
00CA,small_airport,Goldstone /Gts/ Airport,3038.0,,US,US-CA,BARSTOW,00CA,,00CA,"-116.888000488, 35.350498199499995",5
00CL,small_airport,Williams Ag Airport,87.0,,US,US-CA,BIGGS,00CL,,00CL,"-121.763427, 39.427188",5
00FA,small_airport,Grass Patch Airport,53.0,,US,US-FL,BUSHNELL,00FA,,00FA,"-82.21900177001953, 28.64550018310547",5
00FL,small_airport,River Oak Airport,35.0,,US,US-FL,OKEECHOBEE,00FL,,00FL,"-80.96920013427734, 27.230899810791016",5
00GA,small_airport,Lt World Airport,700.0,,US,US-GA,LITHONIA,00GA,,00GA,"-84.06829833984375, 33.76750183105469",5
00ID,small_airport,Delta Shores Airport,2064.0,,US,US-ID,CLARK FORK,00ID,,00ID,"-116.21399688720703, 48.145301818847656",5
00IG,small_airport,Goltl Airport,3359.0,,US,US-KS,MCDONALD,00IG,,00IG,"-101.395994, 39.724028",5
00IL,small_airport,Hammer Airport,840.0,,US,US-IL,POLO,00IL,,00IL,"-89.5604019165039, 41.97840118408203",5
00IS,small_airport,Hayenga's Cant Find Farms Airport,820.0,,US,US-IL,KINGS,00IS,,00IS,"-89.1229019165039, 40.02560043334961",5
00KS,small_airport,Hayden Farm Airport,1100.0,,US,US-KS,GARDNER,00KS,,00KS,"-94.93049621582031, 38.72779846191406",5
00KY,small_airport,Robbins Roost Airport,1265.0,,US,US-KY,STANFORD,00KY,,00KY,"-84.61969757080078, 37.409400939941406",5
00LS,small_airport,Lejeune Airport,12.0,,US,US-LA,ESTERWOOD,00LS,,00LS,"-92.42939758300781, 30.13629913330078",5
00MD,small_airport,Slater Field,45.0,,US,US-MD,FEDERALSBURG,00MD,,00MD,"-75.75379943847656, 38.75709915161133",5
00MN,small_airport,Battle Lake Municipal Airport,1365.0,,US,US-MN,BATTLE LAKE,00MN,,00MN,"-95.70030212402344, 46.29999923706055",5
00MO,small_airport,Cooper Flying Service Airport,970.0,,US,US-MO,ALBA,00MO,,00MO,"-94.412399291992, 37.202800750732",5
00N,small_airport,Bucks Airport,105.0,,US,US-NJ,BRIDGETON,00N,,00N,"-75.1852035522461, 39.473201751708984",5
00NC,small_airport,North Raleigh Airport,348.0,,US,US-NC,LOUISBURG,00NC,,00NC,"-78.37139892578125, 36.085201263427734",5
00NY,small_airport,Weiss Airfield,1000.0,,US,US-NY,WEST BLOOMFIELD,00NY,,00NY,"-77.49970245361328, 42.90010070800781",5
00OH,small_airport,Exit 3 Airport,785.0,,US,US-OH,WAUSEON,00OH,,00OH,"-84.14219665527344, 41.59090042114258",5
00OK,small_airport,Gull Bay Landing Airport,960.0,,US,US-OK,SANDSPRINGS,00OK,,00OK,"-96.217693, 36.198598",5
00PN,small_airport,Ferrell Field,1301.0,,US,US-PA,MERCER,00PN,,00PN,"-80.211111, 41.2995",5
00S,small_airport,Mc Kenzie Bridge State Airport,1620.0,,US,US-OR,MC KENZIE BRIDGE,00S,,00S,"-122.088996887, 44.183200836199994",5
00SC,small_airport,Flying O Airport,150.0,,US,US-SC,SUMTER,00SC,,00SC,"-80.26719665527344, 34.0093994140625",5
00SD,small_airport,Homan Field,1590.0,,US,US-SD,GARY,00SD,,00SD,"-96.498897, 44.809158",5
00TN,small_airport,Ragsdale Road Airport,1100.0,,US,US-TN,MANCHESTER,00TN,,00TN,"-85.95359802246094, 35.515899658203125",5
00TS,small_airport,Alpine Range Airport,670.0,,US,US-TX,EVERMAN,00TS,,00TS,"-97.24199676513672, 32.607601165771484",5
00VA,small_airport,Vaughan Airport,551.0,,US,US-VA,ALTON,00VA,,00VA,"-78.9991684, 36.57600021",5
00VI,small_airport,Groundhog Mountain Airport,2680.0,,US,US-VA,HILLSVILLE,00VI,,00VI,"-80.49949645996094, 36.663299560546875",5
00W,small_airport,Lower Granite State Airport,719.0,,US,US-WA,COLFAX,00W,,00W,"-117.44300079346, 46.673500061035",5
00WA,small_airport,Howell Airport,150.0,,US,US-WA,LONGBRANCH,00WA,,00WA,"-122.77200317382812, 47.17839813232422",5
00WI,small_airport,Northern Lite Airport,860.0,,US,US-WI,WAUPACA,00WI,,00WI,"-89.05010223388672, 44.304298400878906",5
00WN,small_airport,Hawks Run Airport,2900.0,,US,US-WA,ASOTIN,00WN,,00WN,"-117.2490005493164, 46.25",5
00WV,small_airport,Lazy J. Aerodrome,2060.0,,US,US-WV,BEVERLY,00WV,,00WV,"-79.86609649658203, 38.82889938354492",5
00XS,small_airport,L P Askew Farms Airport,3110.0,,US,US-TX,O'DONNELL,00XS,,00XS,"-101.93399810791016, 33.03340148925781",5
01A,small_airport,Purkeypile Airport,1950.0,,US,US-AK,PURKEYPILE,01A,,01A,"-152.27000427246094, 62.943599700927734",5
01AL,small_airport,Ware Island Airport,344.0,,US,US-AL,CLANTON,01AL,,01AL,"-86.51390075683594, 32.94599914550781",5
01CL,small_airport,Swansboro Country Airport,2594.0,,US,US-CA,PLACERVILLE,01CL,,01CL,"-120.73400115966797, 38.79990005493164",5
01FA,small_airport,Rybolt Ranch Airport,55.0,,US,US-FL,ORLANDO,01FA,,01FA,"-81.14420318603516, 28.589399337768555",5
01FL,small_airport,Cedar Knoll Flying Ranch Airport,19.0,,US,US-FL,GENEVA,01FL,,01FL,"-81.1592025756836, 28.78190040588379",5
01GE,small_airport,The Farm Airport,375.0,,US,US-GA,WRIGHTSVILLE,01GE,,01GE,"-82.77110290527344, 32.674400329589844",5
01IA,small_airport,Stender Airport,725.0,,US,US-IA,MAYSVILLE,01IA,,01IA,"-90.74130249023438, 41.66109848022461",5
01ID,small_airport,Lava Hot Springs Airport,5268.0,,US,US-ID,LAVA HOT SPRINGS,01ID,,01ID,"-112.031998, 42.6082",5
01II,small_airport,Myers Field,950.0,,US,US-IN,LIZTON,01II,,01II,"-86.50669860839844, 39.8849983215332",5
01IS,small_airport,William E. Koenig Airport,670.0,,US,US-IL,DOW,01IS,,01IS,"-90.31819915771484, 39.01620101928711",5
01J,small_airport,Hilliard Airpark,59.0,,US,US-FL,HILLIARD,01J,,01J,"-81.90570068359375, 30.68630027770996",5
01K,small_airport,Caldwell Municipal Airport,1157.0,,US,US-KS,CALDWELL,01K,,01K,"-97.5864028930664, 37.03609848022461",5
01KS,small_airport,Flying N Ranch Airport,1485.0,,US,US-KS,LOST SPRINGS,01KS,,01KS,"-97.00330352783203, 38.54059982299805",5
01LA,small_airport,Barham Airport,90.0,,US,US-LA,OAK RIDGE,01LA,,01LA,"-91.77369689941406, 32.638999938964844",5
01LL,small_airport,Schumaier Restricted Landing Area,555.0,,US,US-IL,PINCKNEYVILLE,01LL,,01LL,"-89.46389770507812, 38.12580108642578",5
01LS,small_airport,Country Breeze Airport,125.0,,US,US-LA,SLAUGHTER,01LS,,01LS,"-91.07740020751953, 30.70599937438965",5
01MT,small_airport,Crystal Lakes Resort Airport,3141.0,,US,US-MT,FORTINE,01MT,,01MT,"-114.87999725341797, 48.789100646972656",5
01NC,small_airport,Topsail Airpark,65.0,,US,US-NC,HOLLY RIDGE,01NC,,01NC,"-77.5813980102539, 34.47529983520508",5
01NE,small_airport,Detour Airport,3000.0,,US,US-NE,WELLFLEET,01NE,,01NE,"-100.65299987792969, 40.84360122680664",5
01NH,small_airport,Moore Airfield,835.0,,US,US-NH,CANAAN,01NH,,01NH,"-72.086998, 43.6445",5
01NM,small_airport,Champion Ranch Airport,3630.0,,US,US-NM,ARTESIA,01NM,,01NM,"-104.540278, 33.008611",5
01NV,small_airport,Lantana Ranch Airport,4600.0,,US,US-NV,YERINGTON,01NV,,01NV,"-119.0270004272461, 38.76390075683594",5
01PN,small_airport,Bierly(Personal Use) Airport,960.0,,US,US-PA,BELLEFONTE,01PN,,01PN,"-77.73889923095703, 40.930599212646484",5
01PS,small_airport,Nort's Resort Airport,1040.0,,US,US-PA,MESHOPPEN,01PS,,01PS,"-76.02960205078125, 41.59590148925781",5
01SC,small_airport,York Airport,779.0,,US,US-SC,YORK,01SC,,01SC,"-81.25279998779297, 35.032100677490234",5
01TE,small_airport,Smith Field,505.0,,US,US-TX,FORNEY,01TE,,01TE,"-96.4280014038086, 32.73759841918945",5
01TN,small_airport,Colonial Air Park,370.0,,US,US-TN,COLLIERVILLE,01TN,,01TN,"-89.73059844970703, 34.99589920043945",5
01TX,small_airport,Mims Farm Ultralightport,610.0,,US,US-TX,WAXAHACHIE,01TX,,01TX,"-96.87750244140625, 32.38759994506836",5
01U,small_airport,Duckwater Airport,5124.0,,US,US-NV,DUCKWATER,01U,,01U,"-115.63400268554688, 38.851600646972656",5
01UT,small_airport,La Sal Junction Airport,6000.0,,US,US-UT,LA SAL,01UT,,01UT,"-109.39600372314453, 38.30830001831055",5
01VA,small_airport,Pickles Airport,500.0,,US,US-VA,BERRYVILLE,01VA,,01VA,"-77.9250030518, 39.125",5
01WI,small_airport,Prehn Cranberry Company Airport,930.0,,US,US-WI,TOMAH,01WI,,01WI,"-90.38919830322266, 44.0099983215332",5
01WY,small_airport,Keyhole Airport,4250.0,,US,US-WY,MOORCROFT,01WY,,01WY,"-104.81099700927734, 44.347198486328125",5
02AK,small_airport,Rustic Wilderness Airport,190.0,,US,US-AK,WILLOW,02AK,,02AK,"-150.09800720214844, 61.87689971923828",5
02AL,small_airport,Bass Field,61.0,,US,US-AL,FOLEY,02AL,,02AL,"-87.76439666748047, 30.37150001525879",5
02CD,small_airport,Shannon Field,165.0,,US,US-MS,CLARKSDALE,02CD,,02CD,"-90.52400207519531, 34.129600524902344",5
02CL,small_airport,Conover Air Lodge Airport,5160.0,,US,US-CA,FRAZIER PARK,02CL,,02CL,"-119.058998, 34.761101",5
02CO,small_airport,Mc Cullough Airport,7615.0,,US,US-CO,MONTE VISTA,02CO,,02CO,"-106.04699707, 37.64329910279999",5
02FA,small_airport,Osborn Airfield,121.0,,US,US-FL,GROVELAND,02FA,,02FA,"-81.87480163574219, 28.52669906616211",5
02FL,small_airport,Cuchens Airport,215.0,,US,US-FL,DEFUNIAK SPRINGS,02FL,,02FL,"-86.123889, 30.642778",5
02GA,small_airport,Doug Bolton Field,884.0,,US,US-GA,COMMERCE,02GA,,02GA,"-83.42900085449219, 34.202598571777344",5
02GE,small_airport,Etowah Fields Airport,710.0,,US,US-GA,EUHARLEE,02GE,,02GE,"-84.92440032958984, 34.17530059814453",5
02ID,small_airport,Morgan Ranch Airport,5634.0,,US,US-ID,CASCADE,02ID,,02ID,"-115.30500030517578, 44.55550003051758",5
02II,small_airport,King Ultralightport,925.0,,US,US-IN,WESTFIELD,02II,,02II,"-86.21050262451172, 40.06230163574219",5
02IN,small_airport,Diamond P. Field,904.0,,US,US-IN,MUNCIE,02IN,,02IN,"-85.54080200195312, 40.208900451660156",5
02KS,small_airport,Jmj Landing Airport,1170.0,,US,US-KS,ST MARYS,02KS,,02KS,"-96.0552978515625, 39.222198486328125",5
02MD,small_airport,Garner Field,141.0,,US,US-MD,BRANDYWINE,02MD,,02MD,"-76.709739, 38.672544",5
02ME,small_airport,Nadeau's Airport,700.0,,US,US-ME,ACTON,02ME,,02ME,"-70.929397, 43.5373",5
02MI,small_airport,Fairplains Airpark,850.0,,US,US-MI,GREENVILLE,02MI,,02MI,"-85.14849853515625, 43.157100677490234",5
02MN,small_airport,Greenbush Municipal Airport,1070.0,,US,US-MN,GREENBUSH,02MN,,02MN,"-96.19200134277344, 48.68330001831055",5
02MO,small_airport,Troy Airpark,650.0,,US,US-MO,TROY,02MO,,02MO,"-91.03350067138672, 39.04999923706055",5
02MS,small_airport,Watts Field,153.0,,US,US-MS,ROCHDALE,02MS,,02MS,"-90.8468017578125, 34.100101470947266",5
02NE,small_airport,Benes Service Airport,1550.0,,US,US-NE,VALPARAISO,02NE,,02NE,"-96.90450286865234, 41.074501037597656",5
02NV,small_airport,Paiute Meadows Airport,4443.0,,US,US-NV,WINNEMUCCA,02NV,,02NV,"-118.5979995727539, 41.30329895019531",5
02OH,small_airport,Zimmerman Airport,614.0,,US,US-OH,FREMONT,02OH,,02OH,"-83.08329772949219, 41.376399993896484",5
02OI,small_airport,Murtha Airport,950.0,,US,US-OH,CONNEAUT,02OI,,02OI,"-80.56539916992188, 41.801998138427734",5
02OR,small_airport,Rowena Dell Airport,705.0,,US,US-OR,THE DALLES,02OR,,02OR,"-121.31600189208984, 45.68149948120117",5
02PS,small_airport,Hughes Ultralightport,1700.0,,US,US-PA,TIOGA,02PS,,02PS,"-77.23030090332031, 41.90060043334961",5
02SC,small_airport,Harpers Airport,111.0,,US,US-SC,ESTILL,02SC,,02SC,"-81.22480010986328, 32.75849914550781",5
02T,small_airport,Wise River Airport,5830.0,,US,US-MT,WISE RIVER,02T,,02T,"-112.98200225830078, 45.769100189208984",5
02TN,small_airport,Ellis Field,840.0,,US,US-TN,MURFREESBORO,02TN,,02TN,"-86.58419799804688, 35.780601501464844",5
02TX,small_airport,The Palms At Kitty Hawk Airport,3235.0,,US,US-TX,NEW HOME,02TX,,02TX,"-101.92288208, 33.3704032898",5
02UT,small_airport,Lucin Airport,4412.0,,US,US-UT,LUCIN,02UT,,02UT,"-113.84300231933594, 41.36629867553711",5
02VA,small_airport,The Greenhouse Airport,320.0,,US,US-VA,CULPEPER,02VA,,02VA,"-77.8572006225586, 38.435699462890625",5
02WA,small_airport,Cawleys South Prairie Airport,690.0,,US,US-WA,SOUTH PRAIRIE,02WA,,02WA,"-122.09400177001953, 47.15230178833008",5
02WI,small_airport,Beer Airport,920.0,,US,US-WI,HUDSON,02WI,,02WI,"-92.65579986572266, 45.031898498535156",5
02WN,small_airport,Fowler Field,2150.0,,US,US-WA,TONASKET,02WN,,02WN,"-119.31900024414062, 48.74580001831055",5
02XA,small_airport,JLS Farms Airport,675.0,,US,US-TX,HONEY GROVE,02XA,,02XA,"-95.882864, 33.591319",5
02XS,small_airport,Seidel Ranch Airport,510.0,,US,US-TX,ELROY,02XS,,02XS,"-97.66280364990234, 30.1476993560791",5
03AZ,small_airport,Thompson International Aviation Airport,4275.0,,US,US-AZ,HEREFORD,03AZ,,03AZ,"-110.08399963378906, 31.433399200439453",5
03CO,small_airport,Kugel-Strong Airport,4950.0,,US,US-CO,PLATTEVILLE,03CO,,03CO,"-104.744003296, 40.2125015259",5
03FA,small_airport,Lake Persimmon Airstrip,70.0,,US,US-FL,LAKE PLACID,03FA,,03FA,"-81.40809631347656, 27.353099822998047",5
03GA,small_airport,HIA Airport,238.0,,US,US-IN,STATESBORO,03GA,,03GA,"-81.8576944, 32.5623056",5
03IA,small_airport,East Field,954.0,,US,US-IA,MONTEZUMA,03IA,,03IA,"-92.4613037109375, 41.58190155029297",5
03ID,small_airport,Flying Y Ranch Airport,3180.0,,US,US-ID,COUNCIL,03ID,,03ID,"-116.53299713134766, 44.7943000793457",5
03II,small_airport,Davis Field Ultralightport,465.0,,US,US-IN,MOUNT VERNON,03II,,03II,"-87.7789001465, 37.9620018005",5
03IL,small_airport,Wix Airport,750.0,,US,US-IL,MONEE,03IL,,03IL,"-87.81670379638672, 41.40230178833008",5
03IN,small_airport,Heinzman Airport,850.0,,US,US-IN,ARCADIA,03IN,,03IN,"-86.01249694824219, 40.18000030517578",5
03KY,small_airport,Flying H Farms Airport,385.0,,US,US-KY,HENDERSON,03KY,,03KY,"-87.54139709472656, 37.79169845581055",5
03MA,small_airport,Hadley Airport,150.0,,US,US-MA,HADLEY,03MA,,03MA,"-72.552001953125, 42.39310073852539",5
03ME,small_airport,Maple Ridge Airport,556.0,,US,US-ME,HARRISON,03ME,,03ME,"-70.6272964477539, 44.08420181274414",5
03MN,small_airport,Nauerth Land Ranch Airport,1435.0,,US,US-MN,LAKEFIELD,03MN,,03MN,"-95.22470092773438, 43.62519836425781",5
03MT,small_airport,Cascade Field,3580.0,,US,US-MT,CASCADE,3MT7,,3MT7,"-111.71748, 47.267327",5
03MU,small_airport,Mc Donnell Airport,874.0,,US,US-MO,ARCHIE,03MU,,03MU,"-94.41249847410002, 38.4925003052",5
03NC,small_airport,Pilots Ridge Airport,35.0,,US,US-NC,CAROLINA BEACH,03NC,,03NC,"-77.9041976928711, 34.10430145263672",5
03ND,small_airport,Olafson Brothers Airport,1045.0,,US,US-ND,EDINBURG,03ND,,03ND,"-97.8290023803711, 48.626399993896484",5
03NE,small_airport,Hyde Ranch Airport,2430.0,,US,US-NE,COMSTOCK,03NE,,03NE,"-99.3311996459961, 41.5463981628418",5
03NV,small_airport,Llama Ranch Airport,6120.0,,US,US-NV,RUBY VALLEY,03NV,,03NV,"-115.2979965209961, 40.58440017700195",5
03NY,small_airport,Talmage Field,95.0,,US,US-NY,RIVERHEAD,03NY,,03NY,"-72.716796875, 40.95840072631836",5
03OH,small_airport,Gibbs Field,580.0,,US,US-OH,FREMONT,03OH,,03OH,"-83.01740264892578, 41.418399810791016",5
03OK,small_airport,Sahoma Lake Airport,890.0,,US,US-OK,SAPULPA,03OK,,03OK,"-96.1613998413086, 36.04119873046875",5
03OR,small_airport,Powwatka Ridge Airport,3340.0,,US,US-OR,TROY,03OR,,03OR,"-117.48400115966797, 45.85540008544922",5
03PR,small_airport,Sun View Field Airport,980.0,,US,US-KS,BONNER SPRINGS,03PR,,03PR,"-94.921703, 39.065947",5
03S,small_airport,Sandy River Airport,704.0,,US,US-OR,SANDY,03S,,03S,"-122.22899627685547, 45.401798248291016",5
03TE,small_airport,Barronena Ranch Airport,600.0,,US,US-TX,HEBBRONVILLE,03TE,,03TE,"-98.66950225830078, 27.491100311279297",5
03UT,small_airport,A Z Minerals Corporation Airport,5315.0,,US,US-UT,MEXICAN HAT,03UT,,03UT,"-109.98600006103516, 37.12080001831055",5
03WA,small_airport,Spangle Field,2440.0,,US,US-WA,SPANGLE,03WA,,03WA,"-117.37200164794922, 47.408199310302734",5
03WI,small_airport,Zink Airport,880.0,,US,US-WI,BERLIN,03WI,,03WI,"-88.883945, 44.028873",5
03WN,small_airport,Aerostone Ranch Airport,2320.0,,US,US-WA,GOLDENDALE,03WN,,03WN,"-120.66999816894531, 45.875",5
03XS,small_airport,Creekside Airport,2100.0,,US,US-TX,MERTZON,03XS,,03XS,"-100.75399780273438, 31.318099975585938",5
04AA,small_airport,Phil's Airport,250.0,,US,US-AK,SOLDOTNA,04AA,,04AA,"-150.811387, 60.535833",5
04AZ,small_airport,Chinle Airport,5515.0,,US,US-AZ,CHINLE,04AZ,,04AZ,"-109.5510025024414, 36.15420150756836",5
04CA,small_airport,Gray Butte Field,3020.0,,US,US-CA,PALMDALE,KGXA,,04CA,"-117.675003, 34.5639",5
04CL,small_airport,Hunt's Sky Ranch Airport,2310.0,,US,US-CA,JULIAN,04CL,,04CL,"-116.44100189208984, 33.08169937133789",5
04FA,small_airport,Richards Field,9.0,,US,US-FL,HOMESTEAD,04FA,,04FA,"-80.51509857177734, 25.558700561523438",5
04FL,small_airport,Cross Creek Farms Airport,30.0,,US,US-FL,ORMOND,04FL,,04FL,"-81.22200012207031, 29.23940086364746",5
04I,small_airport,Columbus Southwest Airport,920.0,,US,US-OH,COLUMBUS,04I,,04I,"-83.18879699707031, 39.91120147705078",5
04IA,small_airport,Middlekoop Airport,801.0,,US,US-IA,PACKWOOD,04IA,,04IA,"-92.05460357666016, 41.08829879760742",5
04ID,small_airport,Lanham Field,2343.0,,US,US-ID,EMMETT,04ID,,04ID,"-116.53700256347656, 43.87770080566406",5
04II,small_airport,Turkey Run Airport,765.0,,US,US-IN,NEW HAVEN,04II,,04II,"-84.99410247802734, 41.13059997558594",5
04IL,small_airport,Schertz Aerial Service - Hudson Airport,755.0,,US,US-IL,HUDSON,04IL,,04IL,"-89.0070037842, 40.6375007629",5
04IS,small_airport,Van Gorder Airport,728.0,,US,US-IL,MANSFIELD,04IS,,04IS,"-88.56900024414062, 40.1786003112793",5
04KY,small_airport,Natchez Trace Farm Airport,710.0,,US,US-KY,HISEVILLE,04KY,,04KY,"-85.78939819335938, 37.135101318359375",5
04LL,small_airport,Brunner Airport,750.0,,US,US-IL,WEST DUNDEE,04LL,,04LL,"-88.28759765625, 42.13610076904297",5
04ME,small_airport,Beech Hill Airport,625.0,,US,US-ME,MERCER,04ME,,04ME,"-69.8938980102539, 44.66669845581055",5
04MI,small_airport,Rapids Airway Airport,880.0,,US,US-MI,EATON RAPIDS,04MI,,04MI,"-84.62830352783203, 42.53450012207031",5
04MN,small_airport,Helblad Airport,1195.0,,US,US-MN,KELLIHER,04MN,,04MN,"-94.68689727783203, 47.985801696777344",5
04MO,small_airport,Airpark Private Airport,767.0,,US,US-MO,VANDALIA,04MO,,04MO,"-91.45149993896484, 39.30120086669922",5
04MS,small_airport,Nick's Flying Service Inc Airport,100.0,,US,US-MS,ROLLING FORK,04MS,,04MS,"-90.8373031616, 32.939601898199996",5
04MT,small_airport,Pluhar Airport,2715.0,,US,US-MT,COHAGEN,04MT,,04MT,"-106.488095, 47.13749777779999",5
04NE,small_airport,Mc Connell Field Airport,3035.0,,US,US-NE,SARBEN,04NE,,04NE,"-101.299003601, 41.159999847399995",5
04NJ,small_airport,Emmanuel Airport,155.0,,US,US-NJ,ELMER,04NJ,,04NJ,"-75.2334976196, 39.596801757799994",5
04NV,small_airport,Kingston Ranch Airport,2620.0,,US,US-NV,SANDY VALLEY,04NV,,04NV,"-115.665000916, 35.7555007935",5
04NY,small_airport,Klaverack Airport,250.0,,US,US-NY,HUDSON,04NY,,04NY,"-73.6961975098, 42.262298584",5
04OR,small_airport,Collins Landing Strip,1500.0,,US,US-OR,MITCHELL,04OR,,04OR,"-120.200996399, 44.7499008179",5
04TN,small_airport,Hensley Airpark,1430.0,,US,US-TN,CHUCKEY,04TN,,04TN,"-82.67890167239999, 36.183300018299995",5
04TX,small_airport,Pocock Airport,565.0,,US,US-TX,CHINA SPRING,04TX,,04TX,"-97.36889648440001, 31.7322006226",5
04UT,small_airport,Navajo Mountain Airport,6160.0,,US,US-UT,NAVAJO MOUNTAIN TRDNG POST,04UT,,04UT,"-110.794998169, 37.0083007812",5
04V,small_airport,Saguache Municipal Airport,7826.0,,US,US-CO,SAGUACHE,04V,,04V,"-106.1743889, 38.0990833",5
04VG,small_airport,Manquin Flight Park Ultralightport,50.0,,US,US-VA,MANQUIN,04VG,,04VG,"-77.21179962160001, 37.7144012451",5
04VT,small_airport,Lightning Bolt Field Airport,2156.0,,US,US-VT,CABOT,04VT,,04VT,"-72.26360321039999, 44.4011001587",5
04W,small_airport,Field of Dreams Airport,1021.0,,US,US-MN,HINCKLEY,04W,,04W,"-92.895401001, 46.0228004456",5
04WA,small_airport,Ox Meadows Airport,2345.0,,US,US-WA,SPOKANE,04WA,,04WA,"-117.43699646, 47.5817985535",5
04WI,small_airport,Dutch Gap Airstrip,760.0,,US,US-WI,BRISTOL,04WI,,04WI,"-88.0167007446, 42.523399353",5
04WN,small_airport,Stillwater Creek Airport,1510.0,,US,US-WA,ROYAL CITY,04WN,,04WN,"-119.641667, 46.963889",5
05AK,small_airport,Wasilla Creek Airpark,620.0,,US,US-AK,PALMER,05AK,,05AK,"-149.1880035, 61.66830063",5
05AR,small_airport,Ozark Skies Airpark,1900.0,,US,US-AR,KINGSTON,05AR,,05AR,"-93.57025, 36.000633",5
05CL,small_airport,Pope Valley Airport,618.0,,US,US-CA,POPE VALLEY,05CL,,05CL,"-122.39099884, 38.6106987",5
05CO,small_airport,Rancho De Aereo Airport,4978.0,,US,US-CO,MEAD,05CO,,05CO,"-104.9844228, 40.2149839",5
05FA,small_airport,Melanie's Airport,295.0,,US,US-FL,FLORALA,05FA,,05FA,"-86.21829986572266, 30.918899536132812",5
05FL,small_airport,Charlton Strip,36.0,,US,US-FL,LA BELLE,05FL,,05FL,"-81.4083023071289, 26.523099899291992",5
05GA,small_airport,Raju Airport,625.0,,US,US-GA,RICHLAND,05GA,,05GA,"-84.71440124511719, 32.0713996887207",5
05IA,small_airport,Spotts Field,1155.0,,US,US-IA,NORA SPRINGS,05IA,,05IA,"-93.06829833984375, 43.13750076293945",5
05ID,small_airport,Running Creek Ranch Airport,2969.0,,US,US-ID,GRANGEVILLE,05ID,,05ID,"-114.835999, 45.914101",5
05II,small_airport,Reichhart Airport,795.0,,US,US-IN,NEW HAVEN,05II,,05II,"-84.99720001220703, 41.02870178222656",5
05IL,small_airport,Classic Landings Airport,635.0,,US,US-IL,BONFIELD,05IL,,05IL,"-88.0167007446289, 41.156700134277344",5
05IN,small_airport,Cooper Airport,860.0,,US,US-IN,BELLEVILLE,05IN,,05IN,"-86.50420379638672, 39.641998291015625",5
05IS,small_airport,Hardy Airport,605.0,,US,US-IL,MOUNT AUBURN,05IS,,05IS,"-89.26399993896484, 39.72589874267578",5
05KS,small_airport,Darbro Field,945.0,,US,US-KS,ELK CITY,05KS,,05KS,"-95.95919799804688, 37.26620101928711",5
05KY,small_airport,Cartersville Airport,1070.0,,US,US-KY,BEREA,05KY,,05KY,"-84.40720367, 37.53689957",5
05LA,small_airport,Greg's Flying Service Airport,76.0,,US,US-LA,BASKIN,05LA,,05LA,"-91.69779968261719, 32.26530075073242",5
05LS,small_airport,Grass Roots Airport,83.0,,US,US-LA,ALEXANDRIA,05LS,,05LS,"-92.47579956054688, 31.252199172973633",5
05MD,small_airport,Breezecroft Airport,20.0,,US,US-MD,CHESTERTOWN,05MD,,05MD,"-76.2052001953125, 39.250099182128906",5
05ME,small_airport,Drisko Airport,70.0,,US,US-ME,JONESBORO,05ME,,05ME,"-67.55919647216797, 44.65700149536133",5
05MT,small_airport,Jones Landing,4364.0,,US,US-MT,BELGRADE,05MT,,05MT,"-111.152163, 45.815368",5
05NE,small_airport,Mc Kay Airport,2010.0,,US,US-NE,SPALDING,05NE,,05NE,"-98.3089981079, 41.7221984863",5
05NV,small_airport,Baker Ranches Airport,5180.0,,US,US-NV,BAKER,05NV,,05NV,"-114.088219, 39.0311",5
05OI,small_airport,Dorlon Airpark,830.0,,US,US-OH,COLUMBIA STATION,05OI,,05OI,"-81.96260070800781, 41.28839874267578",5
05OR,small_airport,Peacock Ranch Airport,3500.0,,US,US-OR,ENTERPRISE,05OR,,05OR,"-117.35099792480469, 45.44150161743164",5
05PS,small_airport,Mills Brothers Airport,1210.0,,US,US-PA,BURNT CABINS,05PS,,05PS,"-77.86190032958984, 40.142799377441406",5
05S,small_airport,Vernonia Airfield,647.0,,US,US-OR,VERNONIA,05S,,05S,"-123.24199676513672, 45.85150146484375",5
05TA,small_airport,Brandes Air Field,276.0,,US,US-TX,SEALY,05TA,,05TA,"-96.26509857177734, 29.809099197387695",5
05TE,small_airport,Hilde-Griff Field,950.0,,US,US-TX,GEORGETOWN,05TE,,05TE,"-97.79139709472656, 30.72209930419922",5
05TS,small_airport,Dew Drop Airport,750.0,,US,US-TX,JUSTIN,05TS,,05TS,"-97.35859680175781, 33.12929916381836",5
05TX,small_airport,Circle 'A' Ranch Airport,608.0,,US,US-TX,BLUM,05TX,,05TX,"-97.4041976928711, 32.12919998168945",5
05UT,small_airport,Oljato Airport,4838.0,,US,US-UT,OLJATO,05UT,,05UT,"-110.31700134277344, 37.03329849243164",5
